file	model	alpha	rate	ci_lower	ci_upper	n_variants
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0532043530834341	0.0474226470529521	0.0589860591139161	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.011228191397478	0.00851389520255239	0.0139424875924036	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00103644843669027	0.000207546854995173	0.00186535001838538	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.01_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0545862843323545	0.0487342480187466	0.0604383206459623	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0127828640525134	0.00988902266074399	0.0156767054442828	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00207289687338055	0.000901261287927944	0.00324453245883315	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0516496804283987	0.0459483985525672	0.0573509623042302	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.0115736742097081	0.00881841745929031	0.0143289309601258	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0499222663672482	0.0443120318854532	0.0555325008490433	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.0117464156158231	0.00897091596364793	0.0145219152679983	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00138193124892037	0.000424963668644532	0.0023388988291962	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0435308343409915	0.0382744358838188	0.0487872327981643	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0082915874935222	0.00595562890651567	0.0106275460805287	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.000518224218345137	0	0.00110449815684584	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0497495249611332	0.0441484960633485	0.0553505538589179	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.0101917429607877	0.00760439961798748	0.0127790863035879	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.000518224218345137	0	0.00110449815684584	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0497495249611332	0.0441484960633485	0.0553505538589179	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.0105372257730178	0.00790685379548448	0.0131675977505511	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.000518224218345137	0	0.00110449815684584	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.1_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0492313007427881	0.0436580011444131	0.054804600341163	5789
